PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,013,01,010,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La queman,4 cuartos,Si,1,3,4 dormitorios,#NULL !,22015199901301,22015199901301010,220151999013010101,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,011,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901301,22015199901301011,220151999013010111,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,012,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,1,Por carro recolector,3 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199901301,22015199901301012,220151999013010121,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,013,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,4 cuartos,Si,1,5,4 dormitorios,#NULL !,22015199901301,22015199901301013,220151999013010131,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,014,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,De otra forma,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199901301,22015199901301014,220151999013010141,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,015,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,Por carro recolector,4 cuartos,Si,1,7,3 dormitorios,#NULL !,22015199901301,22015199901301015,220151999013010151,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,016,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901301,22015199901301016,220151999013010161,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,017,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,"La arrojan al río, acequia o canal",2 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901301,22015199901301017,220151999013010171,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,018,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199901301,22015199901301018,220151999013010181,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,019,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,3 cuartos,Si,1,10,2 dormitorios,#NULL !,22015199901301,22015199901301019,220151999013010191,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,023,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,1,De otra forma,3 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199901301,22015199901301023,220151999013010231,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,024,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,2 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199901301,22015199901301024,220151999013010241,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,026,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,Si,1,4,1 dormitorio,1,22015199901301,22015199901301026,220151999013010261,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,027,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Teja,Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901301,22015199901301027,220151999013010271,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,028,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,1,22015199901301,22015199901301028,220151999013010281,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,029,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Teja,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199901301,22015199901301029,220151999013010291,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,030,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,"Duela, parquet, tablón o piso flotante",Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,3 cuartos,Si,1,1,3 dormitorios,#NULL !,22015199901301,22015199901301030,220151999013010301,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,01,031,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,2,1,La queman,3 cuartos,Si,1,8,3 dormitorios,#NULL !,22015199901301,22015199901301031,220151999013010311,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,001,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,"Duela, parquet, tablón o piso flotante",Regular,Regular,Regular,"De río, vertiente, acequia o canal",Por tubería dentro de la vivienda,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199901302,22015199901302001,220151999013020011,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,005,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015199901302,22015199901302005,220151999013020051,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,006,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,La queman,5 cuartos,Si,1,9,4 dormitorios,#NULL !,22015199901302,22015199901302006,220151999013020061,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,007,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901302,22015199901302007,220151999013020071,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,008,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,5 cuartos,Si,1,6,5 dormitorios,#NULL !,22015199901302,22015199901302008,220151999013020081,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,009,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,1,La queman,5 cuartos,Si,1,2,3 dormitorios,#NULL !,22015199901302,22015199901302009,220151999013020091,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,010,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901302,22015199901302010,220151999013020101,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,011,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",Por tubería dentro de la vivienda,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,7,2,Por carro recolector,4 cuartos,Si,1,3,4 dormitorios,#NULL !,22015199901302,22015199901302011,220151999013020111,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,015,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Teja,Madera,Tabla sin tratar,Malo,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,5 cuartos,Si,1,7,3 dormitorios,#NULL !,22015199901302,22015199901302015,220151999013020151,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,016,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Asbesto (Eternit, Eurolit)",Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Bueno,Malo,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,1,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199901302,22015199901302016,220151999013020161,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,017,1,Area rural,Choza,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,"Palma, paja u hoja",Otros materiales,Tabla sin tratar,Malo,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,1,0,Por carro recolector,1 cuarto,Si,1,3,Sin dormitorio,#NULL !,22015199901302,22015199901302017,220151999013020171,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,018,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Hormigón,"Cerámica, baldosa, vinil o mármol",Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,5 cuartos,Si,1,6,4 dormitorios,#NULL !,22015199901302,22015199901302018,220151999013020181,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,019,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199901302,22015199901302019,220151999013020191,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,021,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Hormigón,"Cerámica, baldosa, vinil o mármol",Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,2,1,Por carro recolector,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199901302,22015199901302021,220151999013020211,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,022,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,9,1,Por carro recolector,5 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901302,22015199901302022,220151999013020221,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,023,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199901302,22015199901302023,220151999013020231,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,024,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,8,0,Por carro recolector,4 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199901302,22015199901302024,220151999013020241,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,025,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,"Duela, parquet, tablón o piso flotante",Regular,Bueno,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,7,1,Por carro recolector,3 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199901302,22015199901302025,220151999013020251,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,026,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,3 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199901302,22015199901302026,220151999013020261,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,027,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,3 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199901302,22015199901302027,220151999013020271,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,02,028,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,6 cuartos,Si,1,6,4 dormitorios,#NULL !,22015199901302,22015199901302028,220151999013020281,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,001,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,Por tubería dentro de la vivienda,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199901303,22015199901303001,220151999013030011,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,002,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Tabla sin tratar,Bueno,Bueno,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,3 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199901303,22015199901303002,220151999013030021,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199901303,22015199901303003,220151999013030031,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,004,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,4,0,Por carro recolector,3 cuartos,Si,1,7,2 dormitorios,#NULL !,22015199901303,22015199901303004,220151999013030041,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,006,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tierra,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199901303,22015199901303006,220151999013030061,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,010,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199901303,22015199901303010,220151999013030101,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,013,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,8,1 dormitorio,#NULL !,22015199901303,22015199901303013,220151999013030131,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,016,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901303,22015199901303016,220151999013030161,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,020,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199901303,22015199901303020,220151999013030201,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,021,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Malo,Regular,Otro (Agua lluvia/albarrada),"Por tubería fuera del edificio, lote o terreno",No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199901303,22015199901303021,220151999013030211,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,022,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,3 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199901303,22015199901303022,220151999013030221,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,023,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901303,22015199901303023,220151999013030231,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,024,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,2,0,Por carro recolector,2 cuartos,Si,1,7,2 dormitorios,#NULL !,22015199901303,22015199901303024,220151999013030241,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,025,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,"Duela, parquet, tablón o piso flotante",Bueno,Bueno,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901303,22015199901303025,220151999013030251,ORELLANA,ORELLANA,DAYUMA,220151999013
